Source,SourceDoc,Admin0,Admin1,Admin2,Year,Crop,Season, Area , Yield , MT 
MOALP,AgroMOALP,,Rift Valley,Bomet,1997,Maize,,37185,1.5,55777.5
MOALP,AgroMOALP,,Rift Valley,Bomet,1998,Maize,Long Rains,34600,2.52,87192
MOALP,AgroMOALP,,Rift Valley,Bomet,1998,Maize,,34600,2.52,87192
MOALP,AgroMOALP,,Rift Valley,Bomet,1999,Maize,Long Rains,25500,1.81,46260
MOALP,AgroMOALP,,Rift Valley,Bomet,1999,Maize,Short Rains,3600,1.8,6480
MOALP,AgroMOALP,,Rift Valley,Bomet,1999,Maize,,29100,1.81,52740
MOALP,AgroMOALP,,Rift Valley,Bomet,2000,Maize,Long Rains,28600,1.62,46413
MOALP,AgroMOALP,,Rift Valley,Bomet,2000,Maize,Short Rains,200,1.17,234
MOALP,AgroMOALP,,Rift Valley,Bomet,2000,Maize,,28800,1.62,46647
MOALP,AgroMOALP,,Rift Valley,Bomet,2001,Maize,Long Rains,28000,1.8,50400
MOALP,AgroMOALP,,Rift Valley,Bomet,2001,Maize,Short Rains,4000,0.06,234
MOALP,AgroMOALP,,Rift Valley,Bomet,2001,Maize,,32000,1.58,50634
MoALF,Spreadsheet,,Rift Valley,Bomet,2002,Maize,,29000,1.8,52205
MoALF,Spreadsheet,,Rift Valley,Bomet,2003,Maize,,26788.72,1.86,49881.69
MoALF,Spreadsheet,,Rift Valley,Bomet,2004,Maize,,28759,1.82,52319
MoALF,Spreadsheet,,Rift Valley,Bomet,2005,Maize,,30141,2.25,67822
MoALF,Spreadsheet,,Rift Valley,Bomet,2006,Maize,,27457,2.98,81908
MoALF,Spreadsheet,,Rift Valley,Bomet,2007,Maize,,26310,2.7,71058.6
MoALF,Spreadsheet,,Rift Valley,Bomet,2008,Maize,,27891.14,2.32,64597.86
MoALF,Spreadsheet,,Rift Valley,Bomet,2009,Maize,,41672,2.16,90094.05
MoALF,Spreadsheet,,Rift Valley,Bomet,2010,Maize,,38625,2.65,102543.75
MoALF,Spreadsheet,,Rift Valley,Bomet,2011,Maize,,40670,2.65,107750.7
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2012,Maize,,32697,2.24,73273.98
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2013,Maize,,30620,2.36,72201.96
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2014,Maize,,30940,1.72,53185.86
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2012,Millet,,426,1.37,582.77
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2013,Millet,,530,0.95,500.85
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2014,Millet,,992,1.19,1178.5
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2012,"Potatoes, Irish",,2847,15.31,43600
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2013,"Potatoes, Irish",,3924,18.99,74504
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2014,"Potatoes, Irish",,0,0,0
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2012,Sorghum,,426,1.37,582.77
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2013,Sorghum,,660,0.88,582.12
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2014,Sorghum,,442,1.11,489.29
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2012,Sweet potatoes,,429,10.8,4650
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2013,Sweet potatoes,,437,14.2,6220
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Bomet,2014,Sweet potatoes,,233,13.3,3097
MoALF,Spreadsheet,,Rift Valley,Bomet,1975,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1976,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1977,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1978,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1979,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1980,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1981,Wheat,,0,0,0
MoALF,Spreadsheet,,Rift Valley,Bomet,1982,Wheat,,0,0,0
