year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
1998,51348,-999,1,5.2,5.6,5.4
1999,51348,-999,1,5.4,5.7,7
2000,51348,-999,1,4.3,4.7,6.6
2001,51348,-999,1,4.9,5.2,6
2002,51348,-999,1,6,6.2,6.2
2003,51348,-999,1,3.8,4.1,6.3
2004,51348,-999,1,5.6,6.1,6.5
2005,51348,-999,1,5.8,6.4,6.8
2006,51348,-999,1,5.5,5.8,6.4
2007,51348,-999,1,5.2,5.6,5.6
2008,51348,-999,1,4.4,4.8,5.1
2009,51348,-999,1,4.3,4.6,6.5
2010,51348,-999,1,5.7,6.1,5.1
2011,51348,-999,1,4.6,4.9,6.1
2012,51348,-999,1,5.4,5.8,7.1
2013,51348,-999,1,4.5,4.9,6.5
2014,51348,-999,1,5.6,6.1,6.4
2015,51348,-999,1,5.3,5.7,6.4
2016,51348,-999,1,4.2,6.6,1.1
2017,51348,-999,1,1.1,3.3,5.4
1981,51349,-999,1,2.8,6.8,5.1
1982,51349,-999,1,6.9,10.5,5.5
1983,51349,-999,1,7.1,11.3,5.7
1984,51349,-999,1,5.8,8.5,6.5
1985,51349,-999,1,5.4,8.2,6.6
1986,51349,-999,1,5.6,9.8,5.4
1987,51349,-999,1,6.1,11.4,6.2
1988,51349,-999,1,5.4,9.4,4.9
1989,51349,-999,1,5.7,9.6,5.1
1990,51349,-999,1,3.8,7.6,6.3
1991,51349,-999,1,6.7,10.4,6.9
1992,51349,-999,1,6.7,11.1,6.9
1993,51349,-999,1,6.4,10.4,6.3
1994,51349,-999,1,6.9,12.4,7.2
1995,51349,-999,1,5.7,10.4,6.6
1996,51349,-999,1,6.4,10,7.1
1997,51349,-999,1,4.1,7.9,6.5
1998,51349,-999,1,5.3,10.1,7.7
1999,51349,-999,1,6,10.9,7.2
2000,51349,-999,1,5.2,8.8,6.5
2001,51349,-999,1,4.9,8.4,5.9
2002,51349,-999,1,5.9,10,6.7
2003,51349,-999,1,4.4,7.7,6
2004,51349,-999,1,5.3,9.1,6.8
2005,51349,-999,1,5.9,10.1,7.2
2006,51349,-999,1,6.5,9.3,5.6
2007,51349,-999,1,6.2,10.1,5.9
2008,51349,-999,1,5.9,9.8,5.5
2009,51349,-999,1,6,9,5.8
2010,51349,-999,1,5.4,8.6,5.3
2011,51349,-999,1,6.1,8.8,5.8
2012,51349,-999,1,5.9,9.5,7.5
2013,51349,-999,1,5.4,9.2,6.7
2014,51349,-999,1,6.9,11.8,7.4
2015,51349,-999,1,6.2,10.7,6.5
2016,51349,-999,1,3.7,7,2.2
2017,51349,-999,1,3.8,7.5,6.4
1981,51351,-999,1,3.1,7.5,5.3
1982,51351,-999,1,8,11.6,6.1
1983,51351,-999,1,6.8,11.2,6.1
1984,51351,-999,1,5.3,8.6,6.8
1985,51351,-999,1,5,7.8,6.2
1986,51351,-999,1,5.9,9.8,5
1987,51351,-999,1,6,10.7,6.8
1988,51351,-999,1,6,9.8,5.3
1989,51351,-999,1,6.5,10.3,5.9
1990,51351,-999,1,3.8,7.7,6.5
1991,51351,-999,1,6.1,10.6,6.2
1992,51351,-999,1,6.9,11.3,7.1
1993,51351,-999,1,6,9.8,6.4
1994,51351,-999,1,6,10.6,7.4
1995,51351,-999,1,6.2,10.2,6.2
1996,51351,-999,1,5.5,9.6,7.4
1997,51351,-999,1,4.1,8,7
1998,51351,-999,1,5.3,9,8.4
1999,51351,-999,1,7.2,11.8,6.4
2000,51351,-999,1,6.2,9.5,6.3
2001,51351,-999,1,5.5,8.8,5.9
2002,51351,-999,1,7.1,11.1,6.9
2003,51351,-999,1,4.7,7.5,6
2004,51351,-999,1,5.7,8.7,6.9
2005,51351,-999,1,5.4,8.6,6.9
2006,51351,-999,1,7.1,9.9,4.8
2007,51351,-999,1,5.7,9.1,6.8
2008,51351,-999,1,6.9,10.9,6.6
2009,51351,-999,1,6,9.3,6.5
2010,51351,-999,1,6.2,8.9,5.2
