year,code,name,ASAL,AvgTemp_MarMay,SDTemp_MarMay,Cum_DD_MarMay,HeatWDays_MarMay,MaxTemp_MarMay,AvgTemp_MarAug,SDTemp_MarAug,Cum_DD_MarAug,HeatWDays_MarAug,MaxTemp_MarAug,AvgTemp_OctDec,SDTemp_OctDec,Cum_DD_OctDec,HeatWDays_OctDec,MaxTemp_OctDec,SeasRain_MarMay,Prec2Months_MarMay,PrecStDev_MarMay,PrecCoefVar_MarMay,DrySpell_MarMay,DrSpell10_MarMay,DrSpell20_MarMay,MaxRain_MarMay,SeasRain_MarAug,Prec2Months_MarAug,PrecStDev_MarAug,PrecCoefVar_MarAug,DrySpell_MarAug,DrSpell10_MarAug,DrSpell20_MarAug,MaxRain_MarAug,SeasRain_OctDec,Prec2Months_OctDec,PrecStDev_OctDec,PrecCoefVar_OctDec,DrySpell_OctDec,DrSpell10_OctDec,DrSpell20_OctDec,MaxRain_OctDec
2009,51340,-999,1,28,1,2567.6,0,31.5,26.6,1.6,4884.5,0,30,27.2,0.8,2364.2,0,30.9,181.3,95.7,7.1,3.5,19.4,2.6,0.7,50.3,407.7,95.7,10.2,4.3,23,4.3,1.3,112.6,404.9,330.2,19,4.3,16.7,1.9,0.3,163.1
2010,51340,-999,1,27.7,1,2552.8,0,32.2,26.4,1.6,4857.2,0,30.7,27.1,0.6,2353,0,31.9,486.5,244.5,13.6,2.6,22,1.9,1,83,658,244.5,10.8,3,25.1,2.9,1.2,84.8,208.3,168.2,8.5,3.8,22.6,2.5,1.2,59.2
2011,51340,-999,1,27.8,0.9,2554,0,32.6,26.7,1.3,4916.2,0,31.3,27.2,0.9,2363.2,0,31.8,250.8,112.8,5.2,1.9,23.4,1.4,0.9,23.8,386.3,112.8,4.3,2.1,23.5,3.2,0.9,23.8,325.8,272.2,9.1,2.6,12.8,1,0.1,61.5
2012,51340,-999,1,27.7,1,2548.1,0.8,32.6,26.5,1.5,4874.9,0.8,31.1,27.3,0.7,2376.8,0,31.9,259.1,88,10.3,3.6,27.4,2.5,1.1,69.5,414.1,88,7.8,3.4,27.4,3.7,1.8,69.5,388,297.7,13.4,3.2,18.7,2.6,0.2,82.2
2013,51340,-999,1,27.5,1.3,2492.2,0.3,31.9,26.1,1.7,4769,0.3,30.4,-999,-999,-999,-999,-999,440.2,230.5,14.2,2.9,18,1.9,0.2,100.8,600.4,230.5,10.4,3.2,18.1,2.9,0.2,100.8,282.9,198,7.4,2.4,18.2,2.1,0.4,45.1
1981,51341,-999,1,26,1.1,2390.5,0,30.1,24.7,1.6,4536.7,0,28.7,26.3,1,2416.4,0.4,30.8,400.2,298.1,7.6,1.8,13.2,2,0,42,579.9,298.1,6.5,2.1,25.4,4,1.7,42,397,220,7.9,1.8,10.2,0.5,0,47
1982,51341,-999,1,26,1.5,2385.9,0,30.4,24.9,1.6,4565.2,0,29.1,26.1,0.8,2403.9,0.7,31.1,599.5,240.1,14.3,2.2,13.2,1.2,0,101.6,821.3,240.1,11.1,2.5,17.5,3.4,0.1,101.6,418,330.9,9,2,14.3,1.5,0.3,47.6
1983,51341,-999,1,27,1.2,2479.6,0,31.1,25.5,1.7,4697.3,0,29.8,26.4,1,2415.4,0.3,30.8,345.3,152.8,8.5,2.2,14,2.2,0.1,54.5,507.6,152.8,7.7,2.8,19.5,4.4,0.6,63.1,176.4,94.8,5.1,2.7,16.7,3.4,0.1,27.7
1984,51341,-999,1,26.4,1.1,2431.8,0,30.5,24.8,1.9,4563.8,0,29,26.1,0.9,2397.9,0.1,31,398.3,290.2,10.1,2.4,13.5,2.7,0,71.6,569.8,290.2,8.2,2.7,17.7,4.9,0.4,72,324.8,245.7,7.7,2.2,10.8,0.9,0.1,46.4
1985,51341,-999,1,26.1,1.1,2403.9,0,30.2,24.8,1.6,4569.9,0,28.9,26,0.9,2392.8,0,30.8,333.4,178.9,10.7,3,17.9,2.3,0.6,80.3,480.5,178.9,8.2,3.2,20.6,3.4,1,80.3,260.4,142.2,8.5,3,26.8,2,0.8,53
