Town,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV                   ,DEC,year
Machakos Town,32.5,30.0,30.8,40.8,35.0,36.3,40.0,36.5,35.0,35.0,35.0,40.0,2015
Tawa,28.7,30.0,26.0,30.7,33.1,30.0,30.0,-,33.1,32.4,32.5,33.0,2015
Tala,28.0,26.9,26.5,26.4,33.0,32.2,34.3,35.0,35.0,35.0,35.0,34.0,2015
Maua,30.0,30.0,30.6,36.3,36.0,35.0,35.0,35.0,35.0,35.0,35.0,-,2015
Kianjai,33.3,29.3,29.5,33.3,33.3,34.2,33.3,33.3,33.3,33.3,33.3,-,2015
Gakoromere,33.3,31.3,27.8,28.5,33.3,33.3,34.3,37.5,37.0,33.3,33.3,-,2015
Chuka Town,39.1,42.0,37.8,34.8,37.9,45.5,41.4,-,-,-,-,-,2015
Kaanwa,30.5,-,-,-,-,-,-,-,-,-,-,-,2015
"Wote
Wajir Town",28.1,27.8,28.5,34.0,34.3,34.8,-,-,34.5,32.8,32.5,32.5,2015
Marsabit,41.8,41.8,38.0,38.5,40.2,43.0,36.4,38.5,38.5,40.0,35.5,37.3,2015
Daraja Mbili,31.3,28.4,27.4,32.6,36.4,36.4,-,34.1,31.8,34.1,-,-,2015
Kibirigo,27.2,27.1,32.3,37.5,-,-,-,-,-,-,-,-,2015
Nyangusu,27.3,27.3,27.3,34.1,36.0,38.0,39.1,39.1,30.4,21.7,-,-,2015
Riochanda,22.8,27.2,29.4,-,-,-,-,-,-,-,-,-,2015
Nyabite,31.9,26.0,32.0,35.4,-,-,-,-,-,-,-,-,2015
Mogonga,36.4,27.3,27.3,34.1,38.2,-,-,-,-,-,-,-,2015
Igare,35.6,28.1,35.6,36.9,37.5,38.6,43.5,43.5,28.3,26.1,-,-,2015
Kibuye,30.2,27.2,28.9,31.1,35.2,35.4,35.1,30.5,30.1,30.8,-,-,2015
Ahero,-,25.3,29.5,32.9,34.2,34.1,33.4,30.9,29.5,29.3,-,-,2015
Kiboswa,32.2,28.9,29.6,30.9,33.8,-,37.5,30.8,30.8,30.3,-,-,2015
Sondu,-,25.7,30.1,33.5,33.5,35.4,34.5,29.3,29.2,28.9,-,-,2015
Bondo,27.7,22.9,30.2,31.5,36.6,34.7,34.0,29.3,27.4,-,-,-,2015
Siaya,27.2,-,-,-,-,-,33.2,29.8,-,-,-,-,2015
Ngiya,-,23.9,-,-,-,-,34.7,27.5,-,-,-,-,2015
Unguja,26.4,-,-,-,-,-,35.4,27.6,-,-,-,-,2015
Kegonga,25.4,20.8,24.2,31.3,31.7,34.8,37.0,32.5,37.0,-,-,-,2015
Homabay,28.0,31.0,31.3,36.6,-,32.4,35.3,-,-,-,-,-,2015
Oyugis,27.2,28.5,30.7,33.3,34.8,33.2,35.4,-,-,-,-,-,2015
Kehacha,24.0,24.0,24.0,32.0,32.0,-,32.0,32.0,-,32.0,-,-,2015
Migori,24.0,28.0,32.0,32.0,32.0,-,28.3,30.4,30.4,-,-,-,2015
Kabarnet,27.8,27.8,33.3,38.9,38.9,38.9,38.9,-,-,-,-,-,2015
Kimulot,-,27.5,31.3,36.0,34.0,-,38.4,37.5,-,-,-,-,2015
Sotik,-,29.1,31.5,36.0,36.0,-,42.7,36.0,32.0,-,-,-,2015
Bomet,-,30.8,31.0,-,36.4,-,36.0,36.0,-,-,-,-,2015
Muthurwa Narok,29.0,32.5,36.5,40.0,36.5,39.0,3.0,38.0,33.8,32.5,-,-,2015
Nakuru Town,40.0,47.5,47.2,48.8,51.4,50.0,49.1,46.4,47.5,52.5,-,-,2015
Kapsabet,30.4,29.4,30.4,30.4,37.0,39.1,39.1,43.5,43.5,-,-,-,2015
Mulot,-,-,-,-,-,-,-,35.0,-,-,-,-,2015
Kitale,22.9,22.9,22.9,29.2,-,-,-,-,-,-,-,-,2015
Eldoret,30.0,27.0,27.5,30.0,31.8,36.6,32.0,32.0,32.0,32.0,24.5,24.0,2015
Burn Forest,31.0,30.6,35.0,35.6,35.0,35.0,34.6,35.0,35.0,34.7,30.0,30.0,2015
Turbo,20.0,22.0,24.0,31.6,35.0,35.0,35.0,36.7,30.0,28.3,28.1,25.0,2015
Kipkaren,20.0,21.5,24.0,32.1,35.0,35.0,35.0,37.5,30.0,30.0,26.3,25.0,2015
Iten,30.9,30.0,30.0,33.8,35.7,35.0,31.0,33.4,33.8,29.6,26.7,24.0,2015
Kajiado,40.0,40.0,40.0,40.0,40.0,40.0,43.0,-,46.3,45.0,45.0,50.0,2015
Bungoma Town,28.6,27.1,29.0,34.3,34.3,33.3,37.0,32.5,25.1,24.6,24.3,25.4,2015
Kimilili,-,23.9,26.2,-,-,-,-,24.0,22.8,-,20.2,-,2015
Kapsokwony,22.0,22.0,24.4,20.4,-,-,-,26.5,25.3,-,21.1,20.6,2015
Bumala,26.7,27.4,30.2,31.0,33.9,36.1,36.5,25.5,23.8,25.6,28.6,32.7,2015
Busia Town,31.4,23.8,26.2,31.6,35.1,36.5,36.1,25.5,25.0,26.2,27.4,35.7,2015
Butere,27.3,26.6,27.9,29.6,36.1,38.5,39.2,34.1,28.4,28.6,30.7,27.2,2015
Kakamega,28.2,27.3,30.4,33.2,34.9,39.1,38.8,37.1,30.8,24.4,29.0,31.5,2015
Mumias,27.2,26.5,28.3,31.8,34.4,38.6,38.5,33.0,28.4,28.2,30.7,27.8,2015
Mundeta,25.0,24.8,25.4,31.6,33.3,33.3,-,32.7,33.3,33.3,-,-,2015
Cheptula,25.0,23.8,28.6,32.0,35.7,33.9,34.1,-,33.3,31.0,30.4,28.6,2015
Mbale,23.8,23.8,26.2,30.2,33.3,33.3,29.8,31.0,30.0,28.6,28.6,-,2015
Muthurwa,45.0,43.5,45.5,47.6,50.0,45.5,47.6,45.5,45.5,47.6,47.6,45.0,2015
Kawangware,42.9,42.9,45.0,45.5,50.0,47.6,42.9,47.6,47.6,50.0,50.0,47.6,2015
Burma,45.0,45.0,50.0,45.5,50.0,45.0,45.0,45.5,45.5,50.0,50.0,50.0,2015
Gikomba,45.6,-,-,-,-,40.0,47.6,47.6,47.6,45.5,50.0,47.6,2015
Kangemi,42.9,42.9,45.5,45.5,45.5,45.2,47.6,45.5,45.5,50.0,49.3,47.6,2015
