Lon;Lat;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
29.5;-15.5;25.8127160188998;26.1828888454526;26.4604194004627;26.336933214664;25.8363290453652;25.4297886751336;26.097731795643;26.5731162970203;25.5165345163979;26.0049399260513;26.2393293347988;26.7795573099455;26.1266782313718;26.1886893342106;26.5567115206415;26.2764021902876;26.253188232922;26.3533874618997;25.7457739924091;25.9673038134629;25.8228332532728;26.3883290252853;25.5758244719274;26.2561427414662;26.4209729599239;26.5002932570469;26.3955426944476;25.2197132256554;26.232213105661;26.5262265047019;26.4096091096571;26.4691491034696;26.4970060677535
30.5;-15.5;27.1865612466559;27.4002302645035;27.8230131203296;27.6735920932531;27.2125542976018;26.738276518211;27.449221616483;27.8857275733554;26.8148365048576;27.2898573899708;27.5848000255915;28.1585202089923;27.4842410795902;27.485438261744;27.7957385451108;27.5773268835746;27.5581230612236;27.68829006616;27.112899258001;27.2405976542829;27.1083353986621;27.7447904361806;27.1251041455153;27.6992204621437;27.7004125904017;27.7882015168779;27.7640869244831;26.7148901021332;27.6379682740643;27.8860390558327;27.7403877537786;27.7555872281718;27.7828641384021
31.5;-15.5;26.74904209315;26.7970828444078;27.3538738627212;27.172152992399;26.7139700442849;26.2275501063924;26.9589265918866;27.3588848752453;26.2675534954223;26.7489512244618;27.1052824508653;27.6652014423162;27.0076437887178;26.9608358481789;27.2046326412103;27.1008367071264;27.04744998436;27.1908050696417;26.6424762787308;26.7492837116817;26.5828709112286;27.2731996806061;26.7975694768714;27.2984486782129;27.2014128017626;27.3027449668549;27.2628552783664;26.3881870262386;27.2175423952413;27.4393388480767;27.2830780186974;27.2216403273957;27.2511548520639
32.5;-15.5;26.9215154331459;26.827040136953;27.4793208217514;27.2599371222453;26.7918422255014;26.3318887591915;27.0857200538548;27.4293121034941;26.3380192191772;26.8536902219818;27.2679357544626;27.7132491669166;27.1349310017508;27.0757161750884;27.2580985290838;27.278429161457;27.1607368354286;27.3341106495636;26.8042135509147;26.9258940767273;26.68284328986;27.4298916502221;27.0515497284071;27.4897993608668;27.3511234413165;27.4626685158263;27.3760946259455;26.6851856238234;27.4159164509204;27.6202390169172;27.4511003742854;27.3205887575639;27.3523952045368
33.5;-15.5;26.2613563224018;26.016226380988;26.6498553386754;26.4544028628852;26.000162422524;25.571475373984;26.3184632198721;26.6486446657829;25.5740885304563;26.1359434551918;26.5572338755764;26.8150948178166;26.4230260691429;26.3353784893573;26.4967504210545;26.6432296031414;26.4787508836732;26.6455751485652;26.1684132991615;26.296539304951;25.9288172272653;26.7135067654743;26.3916091412462;26.7961656327303;26.6620879212579;26.8021101461452;26.6356280606143;26.1230417162643;26.7415548551324;26.9275973290154;26.7693095524683;26.5712728172444;26.6232054904717
34.5;-15.5;25.3797181889742;24.9907337206897;25.557148155897;25.4330046859219;25.0322606417755;24.6276479071201;25.3189005778238;25.7043901987188;24.6301707066199;25.1990947207106;25.5565266099523;25.6601252057634;25.4918877598583;25.3585050766776;25.515418573376;25.7804923571183;25.5946346041708;25.736171693229;25.3440890636853;25.4292398243374;24.9468272080092;25.7552545429195;25.483780435614;25.8686508927138;25.73800416607;25.9284316648136;25.6772726331633;25.3114015553452;25.8261630023717;26.0034303640189;25.8577065255882;25.5792734782374;25.6626811765421
35.5;-15.5;25.1098162326041;24.6059202674244;25.0660234485819;25.0347763681148;24.739362451885;24.3375981452985;24.9270529720656;25.4227595824718;24.3278239668644;24.86295419149;25.091644714612;25.12078741207;25.1891155133464;24.9846618926667;25.1493702374685;25.510238958258;25.3325719168758;25.4585575409141;25.1731230903265;25.1489410649761;24.59811651862;25.3971573751456;25.1714203686218;25.5460216057553;25.4072739209284;25.7088900136065;25.3577263224307;25.0642404373964;25.498638623087;25.6739671149158;25.5581786960276;25.1914044840597;25.3124865839324
36.5;-15.5;25.0882706032621;24.5184897983979;24.9197206191613;24.9342588199407;24.7447350932833;24.3347112431887;24.8553808377877;25.4279118316716;24.3039578164078;24.7994949368166;24.9203798512667;24.8959329418718;25.1155475089736;24.9261018228792;25.0287542552483;25.467195141348;25.2931348598143;25.452899014892;25.2337433194261;25.1167750132011;24.5636865815914;25.3253661661421;25.1003803665965;25.4703201834632;25.366542492374;25.7335875042667;25.3236280092867;25.069689974372;25.445719601479;25.6214504497027;25.5337555298203;25.0633584478478;25.2601511007236
37.5;-15.5;25.4703906090587;24.8701032504521;25.230946226987;25.2486856835971;25.1492438733752;24.7159001896885;25.2138178328866;25.8194412230826;24.6751637505598;25.1307000148898;25.1759428701333;25.1310434425116;25.4215708542411;25.2971450758719;25.3024338118944;25.7896047094888;25.6103316133914;25.8503069065706;25.6761047589525;25.4665603803908;24.9550701665262;25.6662086842385;25.4367720889194;25.7955527902362;25.7285957245033;26.1162825299198;25.6978760870491;25.4474783552419;25.7909031529082;25.9641458338822;25.8983748678021;25.3670154107293;25.6274152247006
38.5;-15.5;26.5669468107415;25.9348426296754;26.2466327947549;26.2261268574378;26.1930707235025;25.7078373679344;26.2697971130179;26.8520166977472;25.7194924350562;26.1190753197451;26.1635976183883;26.123774688696;26.3692553980061;26.3411252833525;26.2588500938823;26.7438727261326;26.5507249085969;26.9068349869205;26.7722302381087;26.4642441547247;26.0230665140949;26.660459949594;26.4601235233227;26.8015321182632;26.7421312509987;27.0766519726802;26.7321450575306;26.4448691433387;26.7820734028541;26.9405144907759;26.915167844759;26.4063578243775;26.6765664492754
